# anim_name  x  y  frame_w  frame_h  frame_count  frame_duration  looping
idle         0    0    128      129      7            8                1
walk_fwd     0    129  128      129      13           5                1
walk_back    0    258  128      129      13           5                1
crouch       0    387  128      129      2            4                0
jump         0    516  128      129      5            4                0
dash_fwd     0    645  128      129      13           3                0
dash_back    0    774  128      129      13           3                0
5L           0    903  128      129      5            2                0
5M           0    1032 128      129      7            2                0
5H           0    1161 128      129      10           3                0
2L           0    1290 128      129      6            2                0
2M           0    1419 128      129      7            2                0
2H           0    1548 128      129      10           3                0
jL           0    1677 128      129      4            2                0
jM           0    1806 128      129      5            2                0
jH           0    1935 128      129      9            3                0
hitstun      0    2064 128      129      6            3                0
blockstun    0    2193 128      129      6            3                0
knockdown    0    2322 128      129      6            4                0
